timestamp,bus_id,voltage_kv,current_a,frequency_hz,temperature_c,scenario,27_undervoltage,59_overvoltage,50_overcurrent
2025-01-01 00:00:00,bus_1,13.690017296516244,102.54667672302843,59.995367771557305,45.992958784661056,miscoordination,0,0,0
2025-01-01 00:00:01,bus_1,13.792965842895367,109.10682841984496,59.981590059494664,44.893633690594726,miscoordination,0,0,0
2025-01-01 00:00:02,bus_1,13.714056534691055,100.10097154202212,60.0076862888222,44.12192331605536,miscoordination,0,0,0
2025-01-01 00:00:03,bus_1,13.915989510700676,100.20319019253603,60.01289977109554,45.476351950916836,miscoordination,0,0,0
2025-01-01 00:00:04,bus_1,13.951796537181691,105.56275344395269,59.98791072903953,46.82635178265706,miscoordination,0,0,0
2025-01-01 00:00:05,bus_1,13.887094330084011,91.85483365081802,59.998215640298575,43.832388194280085,miscoordination,0,0,0
2025-01-01 00:00:06,bus_1,13.590452007447567,100.43930841240983,60.00952562329575,45.26058121257633,miscoordination,0,0,0
2025-01-01 00:00:07,bus_1,13.755987941342791,106.33988529349388,59.9710119949285,45.774519201107424,miscoordination,0,0,0
2025-01-01 00:00:08,bus_1,13.834460028534462,104.6327020214071,60.01901887590734,45.715200476089564,miscoordination,0,0,0
2025-01-01 00:00:09,bus_1,13.829568118216633,100.0595919224504,59.996923222089436,46.95063931800714,miscoordination,0,0,0
2025-01-01 00:00:10,bus_1,13.92478987818066,104.93543304763348,60.00985066328562,45.81946873227671,miscoordination,0,0,0
2025-01-01 00:00:11,bus_1,13.897043295934697,97.55823353203716,59.99531014091894,46.92747458364066,miscoordination,0,0,0
2025-01-01 00:00:12,bus_1,13.704577438390666,90.63827010237829,59.970753719152114,44.312565551054306,miscoordination,0,0,0
2025-01-01 00:00:13,bus_1,13.866056318675167,107.7082183699899,60.0020868207801,47.13985774111705,miscoordination,0,0,0
2025-01-01 00:00:14,bus_1,13.98891522189804,111.23662579446855,59.96468842806791,47.036043484461565,miscoordination,0,0,0
2025-01-01 00:00:15,bus_1,13.77152626759041,94.06263015921448,60.02207984520307,44.91324358183763,miscoordination,0,0,0
2025-01-01 00:00:16,bus_1,13.789907502445418,96.21414938607973,60.00083808445963,45.057859281381155,miscoordination,0,0,0
2025-01-01 00:00:17,bus_1,13.77553779582042,102.13834631933507,59.99371654248323,43.93932983635688,miscoordination,0,0,0
2025-01-01 00:00:18,bus_1,13.783476445213358,104.98392162128998,60.02781713673206,46.262700195597375,miscoordination,0,0,0
2025-01-01 00:00:19,bus_1,13.676173738657548,101.71937231063926,59.99453003187256,43.89665185398388,miscoordination,0,0,0
2025-01-01 00:00:20,bus_1,13.586958815852704,90.44328549092583,60.04047439455528,45.91669920421455,miscoordination,0,0,0
2025-01-01 00:00:21,bus_1,13.848548689156253,92.75555952608775,59.97354105206421,45.96709407856081,miscoordination,0,0,0
2025-01-01 00:00:22,bus_1,13.796484434868999,104.93469513590098,59.98948404129387,45.324429173481015,miscoordination,0,0,0
